"Property","Treatment","Time","emmean","SE","df","lower.CL","upper.CL"
"Zn","Fill Sand","Post",2.76666666666667,0.260642620789232,38.7201339004202,2.23934534335342,3.29398798997992
"Zn","Preemergent","Post",3.65,0.260642620789232,38.7201339004201,3.12267867668675,4.17732132331325
"Zn","Soil Inversion","Post",3.4,0.260642620789232,38.7201339004201,2.87267867668675,3.92732132331325
"B","Control","Pre",4.33680868994202e-19,0.00589255651357954,38.9743588766909,-0.011919071270317,0.011919071270317
"B","Fill Sand","Pre",-7.22801504836647e-19,0.00589255651357953,38.9743588766906,-0.011919071270317,0.011919071270317
"B","Preemergent","Pre",-7.92953924293561e-19,0.00589255651357953,38.9743588766905,-0.011919071270317,0.011919071270317
"B","Soil Inversion","Pre",4.68286843760651e-18,0.00589255651357953,38.9743588766904,-0.011919071270317,0.011919071270317
"B","Control","Post",1.93599546773136e-18,0.00589255651357955,38.9743588766915,-0.011919071270317,0.011919071270317
"B","Fill Sand","Post",-3.76969223417358e-19,0.00589255651357953,38.9743588766907,-0.011919071270317,0.011919071270317
"B","Preemergent","Post",-5.17274058903101e-19,0.00589255651357953,38.9743588766906,-0.011919071270317,0.011919071270317
"B","Soil Inversion","Post",0.0166666666666667,0.00589255651357954,38.9743588766904,0.0047475953963497,0.0285857379369836
