"Property","contrast","estimate","SE","df","t.ratio","p.value"
"Ca","Preemergent Pre - Fill Sand Post",72,56.8384476452131,35.875136445623,1.26674817808934,0.904997521089617
"Ca","Preemergent Pre - Preemergent Post",-58.8333333333333,48.5828903875686,20,-1.21098874241512,0.919261211271504
"Ca","Preemergent Pre - Soil Inversion Post",-25.5,56.8384476452131,35.875136445623,-0.448639979739974,0.99980046528024
"Ca","Soil Inversion Pre - Control Post",-28.5000000000005,56.8384476452131,35.8751364456231,-0.501421153827039,0.999583428466833
"Ca","Soil Inversion Pre - Fill Sand Post",53,56.8384476452131,35.875136445623,0.93246740887132,0.980636783687906
"Ca","Soil Inversion Pre - Preemergent Post",-77.8333333333334,56.8384476452131,35.875136445623,-1.36937823881417,0.864833584455108
"Ca","Soil Inversion Pre - Soil Inversion Post",-44.5,48.5828903875687,20,-0.915960323583107,0.980829826558804
"Ca","Control Post - Fill Sand Post",81.5000000000005,56.8384476452131,35.8751364456231,1.43388856269836,0.835474749398131
"Ca","Control Post - Preemergent Post",-49.3333333333329,56.8384476452131,35.8751364456231,-0.867957084987132,0.987149214336048
"Ca","Control Post - Soil Inversion Post",-15.9999999999995,56.8384476452131,35.8751364456231,-0.281499595130956,0.99999151839303
"Ca","Fill Sand Post - Preemergent Post",-130.833333333333,56.8384476452131,35.875136445623,-2.30184564768549,0.320450133850257
"Ca","Fill Sand Post - Soil Inversion Post",-97.5,56.8384476452131,35.875136445623,-1.71538815782932,0.677612097975476
"Ca","Preemergent Post - Soil Inversion Post",33.3333333333333,56.8384476452131,35.875136445623,0.586457489856176,0.998846122501872
"Mg","Control Pre - Fill Sand Pre",-8.33333333333342,9.3744980308831,38.3348645443838,-0.888936485546246,0.985368427748484
"Mg","Control Pre - Preemergent Pre",2.16666666666659,9.37449803088309,38.3348645443838,0.231123486242013,0.999997848182151
"Mg","Control Pre - Soil Inversion Pre",1.49999999999992,9.3744980308831,38.3348645443838,0.160008567398314,0.999999832016184
"Mg","Control Pre - Control Post",2.83333333333328,8.86354899512053,20.0000000000005,0.319661270546714,0.999976318523561
"Mg","Control Pre - Fill Sand Post",1.66666666666658,9.37449803088309,38.3348645443838,0.177787297109238,0.999999650595513
"Mg","Control Pre - Preemergent Post",-4.50000000000008,9.3744980308831,38.3348645443838,-0.480025702194976,0.999691279551149
"Mg","Control Pre - Soil Inversion Post",-1.16666666666676,9.3744980308831,38.3348645443838,-0.124451107976483,0.9999999708234
"Mg","Fill Sand Pre - Preemergent Pre",10.5,9.37449803088309,38.3348645443832,1.12005997178826,0.948321396233522
"Mg","Fill Sand Pre - Soil Inversion Pre",9.83333333333335,9.37449803088309,38.3348645443832,1.04894505294456,0.96332633331505
"Mg","Fill Sand Pre - Control Post",11.1666666666667,9.37449803088309,38.3348645443833,1.19117489063196,0.929593110895512
"Mg","Fill Sand Pre - Fill Sand Post",10,8.86354899512052,20,1.12821624898842,0.942596779697575
"Mg","Fill Sand Pre - Preemergent Post",3.83333333333335,9.37449803088309,38.3348645443831,0.40891078335127,0.999894016724413
"Mg","Fill Sand Pre - Soil Inversion Post",7.16666666666666,9.37449803088309,38.3348645443832,0.764485377569763,0.994003317523853
"Mg","Preemergent Pre - Soil Inversion Pre",-0.666666666666667,9.37449803088309,38.3348645443832,-0.0711149188436989,0.999999999414329
"Mg","Preemergent Pre - Control Post",0.666666666666688,9.37449803088309,38.3348645443833,0.0711149188437013,0.999999999414329
"Mg","Preemergent Pre - Fill Sand Post",-0.500000000000012,9.37449803088309,38.3348645443832,-0.0533361891327755,0.999999999921686
"Mg","Preemergent Pre - Preemergent Post",-6.66666666666667,8.86354899512052,20,-0.752144165992283,0.993862198235322
"Mg","Preemergent Pre - Soil Inversion Post",-3.33333333333335,9.37449803088309,38.3348645443831,-0.355574594218497,0.999958756195054
"Mg","Soil Inversion Pre - Control Post",1.33333333333335,9.37449803088309,38.3348645443833,0.1422298376874,0.999999926004278
"Mg","Soil Inversion Pre - Fill Sand Post",0.166666666666654,9.37449803088309,38.3348645443833,0.0177787297109234,1
"Mg","Soil Inversion Pre - Preemergent Post",-6,9.37449803088309,38.3348645443833,-0.64003426959329,0.998007013226462
"Mg","Soil Inversion Pre - Soil Inversion Post",-2.66666666666668,8.86354899512052,20,-0.300857666396915,0.999984331959209
"Mg","Control Post - Fill Sand Post",-1.1666666666667,9.37449803088309,38.3348645443833,-0.124451107976477,0.9999999708234
